,Unnamed: 0,caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,usCite,sctCite,ledCite,lexisCite,term,naturalCourt,chief,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes,justice,justiceName,vote,opinion,direction,majority,firstAgreement,secondAgreement,Marks,original_filename,Analytic,Clout,Authentic,Tone,WPS,BigWords,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,mqScore,scQual,scIdeology,nytSalience,cqSalience,final_length,citations_weight,mqavg,mqstd,mqdist,cog_complex,salience,main,cog_inc
644,644,1970-074,1970-074-01,1970-074-01-01,1970-074-01-01-01-07,4/5/1971,7,401 U.S. 667,91 S. Ct. 1160,28 L. Ed. 2d 404,1971 U.S. LEXIS 151,1970,1502,Burger,36,MACKEY v. UNITED STATES,10/21/1970,,126,,27,,1,,,0,68,,27,,0,12,2,1,1,2,0,0,0,0,10040,1,1,0,7,,5,501,,95,99,1,7,2,95,BRWhite,5,2,1,2,,,1,,,,,,,,,,,,,,,,,0.608,0.5,0.5,0,0,,,-0.268444444,2.575690495,0.340275528,,0,1,0.558504297
645,645,1970-074,1970-074-01,1970-074-01-01,1970-074-01-01-01-08,4/5/1971,7,401 U.S. 667,91 S. Ct. 1160,28 L. Ed. 2d 404,1971 U.S. LEXIS 151,1970,1502,Burger,36,MACKEY v. UNITED STATES,10/21/1970,,126,,27,,1,,,0,68,,27,,0,12,2,1,1,2,0,0,0,0,10040,1,1,0,7,,5,501,,95,99,1,7,2,98,TMarshall,4,1,1,2,92,,1,,,,,,,,,,,,,,,,,-0.936,0.834999979,1,0,0,,,-0.268444444,2.575690495,-0.259175377,,0,0,0.528767603
646,646,1970-074,1970-074-01,1970-074-01-01,1970-074-01-01-01-09,4/5/1971,7,401 U.S. 667,91 S. Ct. 1160,28 L. Ed. 2d 404,1971 U.S. LEXIS 151,1970,1502,Burger,36,MACKEY v. UNITED STATES,10/21/1970,,126,,27,,1,,,0,68,,27,,0,12,2,1,1,2,0,0,0,0,10040,1,1,0,7,,5,501,,95,99,1,7,2,100,HABlackmun,1,1,1,2,,,1,,,,,,,,,,,,,,,,,1.89,0.970000029,0.115000002,0,0,,,-0.268444444,2.575690495,0.838006138,,0,0,0.601343678
647,647,1970-076,1970-076-01,1970-076-01-01,1970-076-01-01-01-01,4/5/1971,7,401 U.S. 745,91 S. Ct. 1122,28 L. Ed. 2d 453,1971 U.S. LEXIS 132,1970,1502,Burger,13,UNITED STATES v. WHITE,11/10/1969,10/20/1970,27,,100,,1,,,0,66,,27,,1,12,3,2,1,3,0,1,0,0,10050,1,1,0,1,,2,205,,95,99,1,5,4,91,JHarlan2,2,2,2,1,,,1,401US745_section_05_HARLAN_cleaned.txt,95.05,33.01,25.17,28.42,14.8,29.27,17.69,0.66,11.84,3.76,1.72,0.98,1.84,0.59,3.77,0.588,0.75,0.875,0,0,52987,1.641912167,-0.268444444,2.575690495,0.33251062,-0.187787926,0,0,0.544306543
648,648,1970-076,1970-076-01,1970-076-01-01,1970-076-01-01-01-02,4/5/1971,7,401 U.S. 745,91 S. Ct. 1122,28 L. Ed. 2d 453,1971 U.S. LEXIS 132,1970,1502,Burger,13,UNITED STATES v. WHITE,11/10/1969,10/20/1970,27,,100,,1,,,0,66,,27,,1,12,3,2,1,3,0,1,0,0,10050,1,1,0,1,,2,205,,95,99,1,5,4,78,HLBlack,4,2,1,2,,,1,,,,,,,,,,,,,,,,,0.058,0.159999996,0.875,0,0,,,-0.268444444,2.575690495,0.126740556,,0,0,0.441001697
649,649,1970-076,1970-076-01,1970-076-01-01,1970-076-01-01-01-03,4/5/1971,7,401 U.S. 745,91 S. Ct. 1122,28 L. Ed. 2d 453,1971 U.S. LEXIS 132,1970,1502,Burger,13,UNITED STATES v. WHITE,11/10/1969,10/20/1970,27,,100,,1,,,0,66,,27,,1,12,3,2,1,3,0,1,0,0,10050,1,1,0,1,,2,205,,95,99,1,5,4,81,WODouglas,2,2,2,1,,,1,401US745_section_04_DOUGLAS_cleaned.txt,89.05,51.36,33.03,26.12,17.33,28.57,19.38,0.82,10.92,2.66,1.73,1.33,2.43,0.57,3.54,-6.492,0.819999993,0.730000019,0,0,21760,0.459558824,-0.268444444,2.575690495,-2.416266848,-0.177694552,0,0,0.422606463
650,650,1970-076,1970-076-01,1970-076-01-01,1970-076-01-01-01-04,4/5/1971,7,401 U.S. 745,91 S. Ct. 1122,28 L. Ed. 2d 453,1971 U.S. LEXIS 132,1970,1502,Burger,13,UNITED STATES v. WHITE,11/10/1969,10/20/1970,27,,100,,1,,,0,66,,27,,1,12,3,2,1,3,0,1,0,0,10050,1,1,0,1,,2,205,,95,99,1,5,4,94,PStewart,1,1,1,2,,,1,,,,,,,,,,,,,,,,,0.609,1,0.75,0,0,,,-0.268444444,2.575690495,0.340663774,,0,0,0.468944514
651,651,1970-076,1970-076-01,1970-076-01-01,1970-076-01-01-01-05,4/5/1971,7,401 U.S. 745,91 S. Ct. 1122,28 L. Ed. 2d 453,1971 U.S. LEXIS 132,1970,1502,Burger,13,UNITED STATES v. WHITE,11/10/1969,10/20/1970,27,,100,,1,,,0,66,,27,,1,12,3,2,1,3,0,1,0,0,10050,1,1,0,1,,2,205,,95,99,1,5,4,98,TMarshall,2,2,2,1,,,1,,,,,,,,,,,,,,,,,-0.936,0.834999979,1,0,0,,,-0.268444444,2.575690495,-0.259175377,,0,0,0.528767603
652,652,1970-076,1970-076-01,1970-076-01-01,1970-076-01-01-01-06,4/5/1971,7,401 U.S. 745,91 S. Ct. 1122,28 L. Ed. 2d 453,1971 U.S. LEXIS 132,1970,1502,Burger,13,UNITED STATES v. WHITE,11/10/1969,10/20/1970,27,,100,,1,,,0,66,,27,,1,12,3,2,1,3,0,1,0,0,10050,1,1,0,1,,2,205,,95,99,1,5,4,92,WJBrennan,2,2,2,1,,,1,,,,,,,,,,,,,,,,,-0.99,1,1,0,0,,,-0.268444444,2.575690495,-0.280140629,,0,0,0.473224228
653,653,1970-076,1970-076-01,1970-076-01-01,1970-076-01-01-01-07,4/5/1971,7,401 U.S. 745,91 S. Ct. 1122,28 L. Ed. 2d 453,1971 U.S. LEXIS 132,1970,1502,Burger,13,UNITED STATES v. WHITE,11/10/1969,10/20/1970,27,,100,,1,,,0,66,,27,,1,12,3,2,1,3,0,1,0,0,10050,1,1,0,1,,2,205,,95,99,1,5,4,95,BRWhite,5,2,1,2,,,1,,,,,,,,,,,,,,,,,0.608,0.5,0.5,0,0,,,-0.268444444,2.575690495,0.340275528,,0,1,0.558504297
654,654,1970-076,1970-076-01,1970-076-01-01,1970-076-01-01-01-08,4/5/1971,7,401 U.S. 745,91 S. Ct. 1122,28 L. Ed. 2d 453,1971 U.S. LEXIS 132,1970,1502,Burger,13,UNITED STATES v. WHITE,11/10/1969,10/20/1970,27,,100,,1,,,0,66,,27,,1,12,3,2,1,3,0,1,0,0,10050,1,1,0,1,,2,205,,95,99,1,5,4,99,WEBurger,1,1,1,2,,,1,,,,,,,,,,,,,,,,,2.249,0.959999979,0.115000002,0,0,,,-0.268444444,2.575690495,0.977386238,,0,0,0.540590615
655,655,1970-076,1970-076-01,1970-076-01-01,1970-076-01-01-01-09,4/5/1971,7,401 U.S. 745,91 S. Ct. 1122,28 L. Ed. 2d 453,1971 U.S. LEXIS 132,1970,1502,Burger,13,UNITED STATES v. WHITE,11/10/1969,10/20/1970,27,,100,,1,,,0,66,,27,,1,12,3,2,1,3,0,1,0,0,10050,1,1,0,1,,2,205,,95,99,1,5,4,100,HABlackmun,1,1,1,2,,,1,,,,,,,,,,,,,,,,,1.89,0.970000029,0.115000002,0,0,,,-0.268444444,2.575690495,0.838006138,,0,0,0.601343678
656,656,1970-097,1970-097-01,1970-097-01-01,1970-097-01-01-01-01,5/3/1971,7,402 U.S. 363,91 S. Ct. 1400,28 L. Ed. 2d 822,1971 U.S. LEXIS 116,1970,1502,Burger,133,"UNITED STATES v. THIRTY-SEVEN (37) PHOTOGRAPHS (LUROS, CLAIMANT)",1/20/1971,,27,,117,,2,21,,1,48,,48,,0,1,,2,1,4,0,1,0,0,30200,3,1,0,1,,2,200,,95,99,1,6,3,99,WEBurger,1,1,1,2,,,1,,,,,,,,,,,,,,,,,2.249,0.959999979,0.115000002,0,0,,,-0.268444444,2.575690495,0.977386238,,0,0,0.540590615
